"Num_equipement","Description","Date de detection de l'anomalie","Statut","Priorité","Description equipement","Section proprietaire"
"829387c9-c03d-40e9-95b0-47b35bc64783","aggravation fuite d'huile étanchéité par joint palier arrière alternateur","2019-01-17 08:35:00","Terminé","1","ALTERNATEUR","34EL"
"62913d8a-e9fd-4c63-b540-f59bb480a818","Confection d'un bac de rétention des huiles","2019-01-17 12:21:00","Terminé","2","MOTEUR VENTILEATEUR SECHEUR DE GEL","34MD"
"f2a7f521-ef1e-4fa4-8f92-c71b3c60b0f1","prévoir contrôle afficheur alimentateur _B","2019-01-17 12:39:00","Terminé","2","COAL FEEDER B","34CT"
"6215f14b-b410-4414-9281-17f308ffbc3e","PREVOIR CONTROLER COMMANDE/POSITION VANNE REGULATRICE DE T° FIOUL.","2019-01-17 12:40:00","Terminé","2","VANNE REGULATRICE DE TEMPERATURE DE CHAUFFAGE FIOU","34CT"
"829387c9-c03d-40e9-95b0-47b35bc64783","fuite d'eau (goute à goute) par bride flasque alternateur coté excitatrice","2019-01-22 14:11:00","Terminé","2","ALTERNATEUR","34EL"
"9bdca246-ee2f-4606-8fbe-33d943c957f5","transfo-redresseur 6A déclenché par sectionneur basse tension .","2019-01-22 14:11:00","Terminé","2","TRANSFORMATEUR REDRESSEUR CHAMP6 FILE A","34EL"
"9bdca246-ee2f-4606-8fbe-33d943c957f5","déclenché par minimum tension .","2019-01-22 14:11:00","Terminé","2","TRANSFORMATEUR REDRESSEUR CHAMP6 FILE A","34EL"
"6b540133-7200-434c-a114-234f3cf8cda4","Prévoir soufflage moteur pompe eau de mer 20","2019-01-22 14:12:00","Terminé","2","CWP20 MOTOR AIR TEMP","34EL"
"62e0bfc3-7593-4a1c-ba6a-42edb9ca7a33","Prévoir soufflage moteur pompe eau de mer 10","2019-01-22 14:12:00","Terminé","2","CWP10 MOTOR AIR TEMP","34EL"
"3ae48f79-4ce3-4b45-8f5a-e16ccdcc8bc4","bruit anormale au niveau ventilateur du moteur","2019-01-22 14:12:00","Terminé","2","MOTEUR DE LA POMPE HP N°1 DE COMMANDE DES ORGANES","34EL"
"fd5076f4-534f-4682-b565-958e1e442fd6","bruit anormale au niveau du moteur pompe huile de commande max10","2019-01-22 14:12:00","Terminé","2","POMPE D'HUILE DE COMMANDE DES VANNES D'A","34EL"
"775275ce-ad7c-444a-b751-c1437d2506c2","Prévoir contrôler le champs électrique 3A tr3 ( minimum de tension ).","2019-01-22 14:12:00","Terminé","2","ELECTROFILTRE A","34EL"
"25591eed-d941-460b-a38b-72b8997adbbf","apparition alarme fréquente capteur de vitesse décrasseur(émerge off).","2019-01-24 08:32:00","Terminé","2","Instrumentations du décrasseur","34EL"
"db015ee1-f40e-4af0-9aad-695f3f781c4e","SOUPAPE RAMONEUR IK34  NON ÉTANCHE  (lance chaude )","2019-01-24 08:33:00","Terminé","2","SOUPAPE DE RAMONEUR LONG RETRACTABLE N°34 TYPE IK","34MC"
"775275ce-ad7c-444a-b751-c1437d2506c2","prévoir contrôler le champs 4A tr3 ( minimum de tension )","2019-01-24 12:33:00","Terminé","2","ELECTROFILTRE A","34EL"
"f4744f4f-0718-416c-bc37-b295b2676a0c","apparition d'une fuite d'huile au niveau de la pompe d'extraction 10.","2019-01-28 08:46:00","Terminé","2","POMPE D'EXTRACTION  N°1","34EL"
"bf032295-76db-44a8-9bdf-d6c6ed87ff14","indication locale (température d'huile basse) .","2019-01-28 08:46:00","Terminé","2","TRANSFORMATEUR REDRESSEUR CHAMP4 FILE A","34EL"
"fcb898a1-663b-4636-ad43-f099c99cf5ef","soupape ramoneur IK33  non étanche (lance chaude )","2019-01-28 09:13:00","Terminé","2","SOUPAPE DE RAMONEUR LONG RETRACTABLE N°33 TYPE IK","34MC"
"5ba98b1b-f71a-44b9-bea7-f761387e819b","Fixation par soudeur transfo-redresseur tranche 03 5B","2019-01-29 10:00:16","Terminé","2","TRANSFORMATEUR REDRESSEUR CHAMP5 FILE B","34MD"
"a2d4395f-7263-4242-83f6-c194c290f515","Rechargement d’une bride par soudure","2019-01-29 13:00:15","Terminé","","SAS A SOUS CHAMP 3 ELECTROFILTRE B","34MD"
"25591eed-d941-460b-a38b-72b8997adbbf","apparition alarme capteur de vitesse decraseur","2019-01-30 13:23:00","Terminé","2","Instrumentations du décrasseur","34EL"
"699e06c4-ffd0-4800-a294-da09e08e1da6","Remise en état convoyeur économiseur haut","2019-01-30 15:08:13","Terminé","2","CONVOYEUR CENDRE VOLANTE TREMIE ECONOMISEUR","34MD"
"998c700e-1aa8-47d0-bad7-fcf8ac9448cd","prévoir la remise en état la vanne de by-pass vanne désurchauffe VAR LAC20.","2019-02-04 08:43:00","Terminé","2","Vanne Déssuchauffe Pompe Alimentaire N°20","34MM"
"d360003b-6269-41e4-bbad-6d45b09538ac","présence fuite de vapeur","2019-02-04 08:48:00","Terminé","2","Contacteur de niveau haut RHP 7.","34MD"
"0aeff87e-5dbb-484c-9cbb-a1cf4d94aa80","LA VANNE PNEUMATIQUE ALIMENTATION RAMONEUR RLJ NE S OUVRE PAS","2019-02-04 09:30:00","Terminé","2","SOOTBLOWER REMOTE I/O PANEL","34CT"
"8dd82dc6-79a3-4f8a-bb2f-da696b73c81f","prévoir changement niveau d alarme max1 etmax2 des niveaux trémies charbon de (rouge au jaune)","2019-02-04 09:37:00","Terminé","2","Transmetteur de Niveau Trémies Charbon du Broyeur A","34CT"
"765089a6-efe3-4af8-9047-a7572b1cf597","fuite de vapeur  au niveau du transmetteur niveau ballon","2019-02-04 10:58:00","Terminé","2","STM DRUM WATER LEVEL","34CT"
"dcc59ec8-9962-448f-8d76-0257bfc98a90","fuite d'eau alimentaire par presse étoupe vanne conditionnement.","2019-02-04 11:00:00","Terminé","2","VANNE DE PURGE","34MM"
"a5956a91-97a9-46e9-b74e-3e36ab367116","Fuite d'huile de commande turbine au niveau du circuit d'alimentation .","2019-02-04 11:01:00","Terminé","2","ROBINET D'ISOLATION","34MM"
"344a302f-5751-43ef-afec-e70e438c4bdc","Remplacement bride soupape ramonage réchauffeur d'air circuit VS","2019-02-04 12:05:00","Terminé","2","Systeme ramonage U3","34MD"
"2da2e54a-41b8-415b-8b2c-08e62fc90522","PREVOIR CONTROLER COMMANDE /POSITION REGISTRE AIR FROID BROYEUR C","2019-02-05 10:40:00","Terminé","2","REGISTRE AIR FROID BROYEUR C.","34CT"
"49aaa22c-9787-456e-837d-f10c26dec857","PREVOIR CONTROLE TRANSMETTEEUR NIVEEAU D'HUILE POMPE ALIMENTAIRE 30. ","2019-02-05 10:43:00","Terminé","2","Niveau huile cuve coupleur N°30","34CT"
"8e2f9d17-fcb2-4f2a-8e1d-eac0f6beeb58","PREVOIR CONTROLE COMMANDE/POSITION DE L'INCLINAISON.","2019-02-05 10:45:00","Terminé","2","COMMANDE DES INCLINAISON BRÛLEURS COIN 1.","34CT"
"ecc76990-c2c8-4824-89ad-27d98d406f98","Manque d'éclairage à coté des broyeurs TR3","2019-02-05 14:23:00","Terminé","2","VANNE DE REMPLISSAGE SAS A SORTIE BROYEUR A","34EL"
"f9073860-fc1a-44b4-b0be-35bd3b8d994e","Prévoir faire l'appoint d'huile ETP11 TR3.","2019-02-06 15:52:00","Terminé","2","SYSTEME ETP","34MC"
"f6d44d59-c1e4-4500-91ed-6d261678b627","prévoir l'appoint de huile.","2019-02-06 16:00:00","Terminé","2","Pompe eau stator","34MG"
"db6eeca1-338f-415b-93ab-6fb14e9c43e2","appoint  d'huile au niveau du compresseur 11.","2019-02-06 16:01:00","Terminé","2","COMPRESSEUR D'AIR B TYPE GA90W","34MG"
"2207691f-2e3e-4ee6-928a-73e3990a8805","percement tube SBT chaudiere","2019-02-08 14:36:00","Terminé","1","Echangeur SBT","34MD"
"957dacec-f3aa-4775-ab81-ab734c254e6e","Mise en place des chaines de sécurité des échelles au tour condenseur U03","2019-02-08 14:51:00","Terminé","1","unité 03","34MD"
"699e06c4-ffd0-4800-a294-da09e08e1da6","Découpage des raclettes chaine convoyeur économiseur","2019-02-10 08:24:00","Terminé","2","CONVOYEUR CENDRE VOLANTE TREMIE ECONOMISEUR","34MD"
"476bdcc9-525f-46e4-b679-fc9305b938fb","Elimination des caillebotis au dessus des vannes","2019-02-10 13:26:00","Terminé","2","VANNE D'ISOLEMENT","34MD"
"344a302f-5751-43ef-afec-e70e438c4bdc","Elimination ancien garde corps","2019-02-10 13:36:00","Terminé","2","Systeme ramonage U3","34MD"
"458509cb-90ee-435a-a0b4-6ecc8ef93c18","prévoir configuration courbe de consommation totale charbon par jour  (30HHY00CR100_XJ60)","2019-02-11 08:27:00","Terminé","2","Control and protection chaudiere 3","34CT"
"3139e31f-dacb-469d-adb4-d83d3985607e","l'inclinaison de l'angle n°2 ne bascule pas a la monté","2019-02-11 08:28:00","Terminé","2","COMMANDE DES INCLINAISON BRÛLEURS COIN 2.","34CT"
"775275ce-ad7c-444a-b751-c1437d2506c2","Prévoir contrôler le champ 1A tr3 ( minimum de tension ).","2019-02-11 08:52:00","Terminé","2","ELECTROFILTRE A","34EL"
"957dacec-f3aa-4775-ab81-ab734c254e6e","chaudière percée","2019-02-11 11:34:00","Terminé","1","unité 03","34MD"
"46307889-d609-4a89-a29d-2d305952dcbe","fuite d'air au distributeur d'air de commande trappe sortie broyeur a","2019-02-11 11:38:00","Terminé","2","SERVOMOTEUR PNEUMATIQUE DU REGISTRE DE DECHARGE BR","34CT"
"5906eae5-95f7-4686-b1c1-fd1ae66ce46f","Elimination fuite cendre volante sur conduite coté silo","2019-02-11 14:53:00","Terminé","2","SYSTEM ETG","34MD"
"5906eae5-95f7-4686-b1c1-fd1ae66ce46f","Remise en état garde corps au dessus electrofiltre","2019-02-12 09:42:00","Terminé","2","SYSTEM ETG","34MD"
"e779ac75-22e7-4f02-8ab2-0c81ec27c7f9","Prévoir la remise en état des courbe du by pass HP (display 3462)","2019-02-13 12:30:00","Terminé","2","BY-PASS HP","34CT"
"488c083f-aef4-40d4-8b6d-8dc7e59565ca","prévoir le soufflage transmetteur DP air P / foyer","2019-02-13 15:51:00","Terminé","2","Transmetteur différentiel d'air primaire chaud/foyer","34CT"
"22d33161-d3ce-4c8c-a323-163c57208151","Prévoir soufflage tube pitaux A","2019-02-13 15:52:00","Terminé","2","Tube de pitaux N°1 aspiration ventillateur A"".""","34CT"
"957dacec-f3aa-4775-ab81-ab734c254e6e","EPI pour service I&C 34","2019-02-14 09:36:32","Terminé","1","unité 03","34CT"
"e779ac75-22e7-4f02-8ab2-0c81ec27c7f9","la vanne by passe HP reste ouverte 2%","2019-02-15 08:42:00","Terminé","2","BY-PASS HP","34CT"
"ae8f64b2-3d47-4aed-ad81-b848cd53703d","cisaillement des boulons de fixation du vanne de vidange eau stator","2019-02-15 08:49:00","Terminé","1","VANNE D'ISOLEMENT DEBIT D'EAU","34MM"
"74019770-33f2-4140-9a56-580770d1fd54","fuite charbon pulvérise au registre sortie broyeur b","2019-02-15 08:59:00","Terminé","2","PULVERIZER B3 DISCHARGE","34MD"
"86c12954-15fb-40ba-8adc-144f957556fd","percement au niveau du conduite de convoyage 2A ( avant la vanne de convoyage).","2019-02-15 08:59:00","Terminé","2","SAS A SOUS CHAMP 2 ELECTROFILTRE A","34MD"
"957dacec-f3aa-4775-ab81-ab734c254e6e","ASSENCEUR SE BLOQUE AU NIVEAU 2ET3","2019-02-18 14:48:00","Terminé","2","unité 03","34EL"
"775275ce-ad7c-444a-b751-c1437d2506c2","transfo 6A déclenché par minimum tension","2019-02-18 14:49:00","Terminé","2","ELECTROFILTRE A","34EL"
"52461e2e-579f-48c0-a87c-ff3b5a30cd44","prévoir le contrôle des résistances du chauffage d'huile","2019-02-18 14:49:00","Terminé","2","PULV  D LUBE OIL HEATER","34EL"
"5906eae5-95f7-4686-b1c1-fd1ae66ce46f","éclairage indisponible au niveau d'électrofiltre tranche 3 (niveau 0 ).","2019-02-18 14:49:00","Terminé","2","SYSTEM ETG","34EL"
"6a7ed335-2285-421b-b44d-eb20eb301d7b","Remise en état échelle et garde corps palier support réchauffeur d'air","2019-02-19 13:06:00","Terminé","3","RECHAUFFEUR D'AIR.","34MD"
"62e086ff-46d5-4240-adcc-e944f9ebf967","éclairage insuffisant au niveau 0 près des broyeurs et ventilateur de tirage.","2019-02-20 10:12:00","Terminé","1","Systeme  de broyage U3","34EL"
"a25a66ba-2c23-4792-a514-d92f76608910","Percement au niveau du conduite du convoyage champ 2A","2019-02-21 08:41:00","Terminé","2","SAS  SOUS CHAMP 2 ELECTROFILTRE A","34MD"
"a994ac64-f27f-4967-83cc-3f1584a1dee9"," PRÉVOIR CONTRÔLE POSITION  INCLINAISON  ( POMPAGE POSITION  )","2019-02-22 08:55:00","Terminé","2","Main burners U3","34CT"
"866fed41-fc69-4a60-bf43-104d1ee3d275","PRÉVOIR SOUFFLAGE TUBE PYTTO VENTILATEUR DE SOUFFLAGE","2019-02-22 08:56:00","Terminé","2","Ventilateur de souflage A","34CT"
"3d2d6ab4-aefc-40e5-867e-81289464dc82","Remplacement moteur du tambour filtrant eau de mer","2019-02-25 08:53:00","Terminé","2","Pompe Eau de Mer 10","34EL"
"f4849faa-b44f-488b-8738-a0469a16e228","NETTOYAGE FILTRES MOTEUR VENTILATEUR SOUFFLAGE B","2019-02-25 09:34:00","Terminé","2","Moteur de souflage B","34EL"
"2e1c995d-6a80-4639-84b6-0c8c840fd1b1","NETTOYAGE FILTRES MOTEURS BROYEURS A ET B","2019-02-25 09:34:00","Terminé","2","MOTEUR BROYEUR A","34EL"
"22d33161-d3ce-4c8c-a323-163c57208151","nettoyage tube de pitaux ventilateur soufflage A","2019-02-25 10:09:00","Terminé","2","Tube de pitaux N°1 aspiration ventillateur A"".""","34CT"
"075c2440-156d-44bd-b165-6ac5941aef71","défaut de FC ramonneur IR39","2019-02-25 16:18:00","Terminé","2","SOUPAPE DE RAMONEUR N°39 D'EFFACEMENT TYPE IR","34EL"
"5906eae5-95f7-4686-b1c1-fd1ae66ce46f","Percement au niveau de conduite de convoyage des cendres volants 1A tr3","2019-02-25 16:23:00","Terminé","2","SYSTEM ETG","34MD"
"9739f53f-e7f0-4df7-95f2-897c7806e2e4","Percement au niveau de conduite de convoyage des cendres volants champ 3b tr3.","2019-02-26 09:07:43","Terminé","2","SAS B SOUS CHAMP 1 ELECTROFILTRE B","34MD"
"fdb9636a-3db9-462c-8e03-52c47bd9e0de","fuite d'huile par palier pompe d'eau de noria secouru","2019-02-27 08:51:00","Terminé","2","Pompe Noria secourue","34MM"
"5906eae5-95f7-4686-b1c1-fd1ae66ce46f","Rechargement des disques pour joint des vannes de convoyage","2019-02-27 14:40:00","Terminé","2","SYSTEM ETG","34MD"
"1dd4fe9d-de73-40ac-8fa9-0a85c6ac05b8","arrêt fréquemment du système (a contrôler)","2019-02-28 12:06:00","Ordonnancé","2","SYSTEM ETA","34EXP"
"8d873e4b-091c-4b6e-ba21-78bcfd34ce3b","prévoir contrôle DP broyeur A","2019-03-01 13:11:00","Terminé","2","PRESSOSTAT","34CT"
"6053cec5-8c07-4012-b288-96fc30e65af6","prévoir contrôle débit eau alimentaire 30LAB40FF001X (PERTE MESURE)","2019-03-03 13:10:00","Terminé","2","DEBIT EAU D'ALIM","34CT"
"3d098114-f7c4-4d2d-ae1b-1abc2f287a81","prévoir le changement du manomètre du clapet hydraulique PAC 10.","2019-03-04 10:13:00","Terminé","2","MANOMETRE","34CT"
"25e44d48-d421-442b-9ff0-eaa63fa1e7c1","Prévoir la remise en état du pont roulant de la chaine du broyage  unité 03  (pont roulant non conforme)","2019-03-05 09:42:00","Terminé","1","MILL MAINTENANCE HOIST","34EL"
"4540d93b-15e4-46cb-ba85-e48eb603770c","Fuite d'huile au niveau du réducteur moteur décrasseur.","2019-03-05 11:58:00","Terminé","2","MOTEUR DECRASSEUR","34MC"
"22c90841-ef49-4e00-b4d3-d7ddc8ba4b86","bruit anormal au niveau de la pompe fuel 10 U3 (prévoir contrôler le filtre  )","2019-03-05 11:59:00","Terminé","2","POMPE FUEL  PRINCIPALE  N°1","34MC"
"ec354ff4-33ca-491f-a62b-f10c9dca013b","prévoir contrôler pompe fuel 20 U3 (faible pression)","2019-03-05 12:02:00","Terminé","2","POMPE FUEL  PRINCIPALE  N°2","34MC"
"3146a345-79bd-41f6-a7d2-6e9482447b27","fuite de vapeur par tresse ramoneur IK15","2019-03-05 12:03:00","Terminé","2","RAMONEUR LONG RETRACTABLE  IK15","34MC"
"caf26e50-c303-4281-9d6c-715966f92cee","LA POMPE FUEL N*20 NE REFOULE PAS.","2019-03-05 12:06:00","Terminé","2","TRANSMETTEUR DE PRESSION","34MC"
"344a302f-5751-43ef-afec-e70e438c4bdc","fuite au niveau de la conduite générale en provenance des vannes conditionnement ramonage vers bâche intermittente ( coude a coté du broyeur A )","2019-03-05 12:09:00","Terminé","2","Systeme ramonage U3","34MD"
"992092f6-4f29-4b33-8952-5193a2db2d8b","prévoir soufflage tube de Pitot soufflage A","2019-03-05 12:25:00","Terminé","2","Transmetteur de débit air de soufflage ventilateur A"" N°1.""","34CT"
"94a7ec69-3ba2-4a23-9937-37e8ac8c2a54","manque d'éclairage au niveau 1 du decrasseur .","2019-03-05 14:08:00","Terminé","2","DECRASSEUR","34EL"
"94a7ec69-3ba2-4a23-9937-37e8ac8c2a54","Découpage et soudage des boulons et coquille des raclettes décrasseur","2019-03-06 15:06:00","Terminé","2","DECRASSEUR","34MD"
"957dacec-f3aa-4775-ab81-ab734c254e6e","Prière de remettre en conformité l’éclairage de la chaudière 3.","2019-03-07 09:19:00","Terminé","2","unité 03","34EL"
"d56beceb-eb7c-4340-91d1-cf48644ac02d","présence d'alarme de température au centrifugeuse (a éliminer)","2019-03-07 09:20:00","Terminé","2","Système huile turbine","34EL"
"2fac3f5e-1153-417f-a914-462bce08415f","Remise en état d'un garde corp","2019-03-07 12:07:00","Terminé","2","FOYER DE LA CHADIERE.","34MD"
"17968e29-6a3d-43e0-a0b1-daed276a2242","prévoir nettoyage filtres moteur broyeur B.","2019-03-11 08:19:00","Terminé","2","MOTEUR BROYEUR B","34EL"
"6c00cfff-7320-4e12-a17d-9cd81a74bc21","Entretien du filtre de la pompe d'extraction","2019-03-11 14:55:00","Terminé","1","POMPE D'EXTRACTION  N°2","34MM"
"f4744f4f-0718-416c-bc37-b295b2676a0c","debranchement et branchement instrumentation de la pompe","2019-03-11 15:33:35","Terminé","1","POMPE D'EXTRACTION  N°1","34CT"
"5906eae5-95f7-4686-b1c1-fd1ae66ce46f","rechargement des clapets des vannes entre sas","2019-03-12 08:48:00","Terminé","2","SYSTEM ETG","34MD"
"344a302f-5751-43ef-afec-e70e438c4bdc","déblocage des guides des tiges des soupapes des ramoneurs IR","2019-03-12 15:46:00","Terminé","2","Systeme ramonage U3","34MD"
"0f4c8975-48da-4585-8ef8-0f7779d65e4d","deux percement au niveau de la conduite de transport des cendres volant champ 1A.","2019-03-13 08:35:00","Terminé","2","SAS  SOUS CHAMP 1 ELECTROFILTRE A","34MD"
"44f956f5-cc64-4ca2-a5e6-4c657d148728","VANNE AIR ÉTANCHÉITÉ BROYEUR D NE S'OUVRE PAS","2019-03-13 15:19:00","Terminé","2","REGISTRE VENTILATEUR AIR D'ETANCHEITE  BROYEUR D","34MC"
"22c90841-ef49-4e00-b4d3-d7ddc8ba4b86","encrassement filtre pompe fuel numéro 10.","2019-03-13 15:30:00","Terminé","2","POMPE FUEL  PRINCIPALE  N°1","34MC"
"ec354ff4-33ca-491f-a62b-f10c9dca013b","encrassement filtre pompe 20 U3.","2019-03-13 15:31:00","Terminé","2","POMPE FUEL  PRINCIPALE  N°2","34MC"
"47dc8a47-a7ba-430e-ab62-9f91f5cee049","fuite de vapeur vanne d'isolement purgeur auto de vapeur Inertage(niveau 0 près de broyeur B).","2019-03-13 15:34:00","Terminé","2","STEAM INERTING HEADER DRAIN LINE ISOLATION","34MC"
"829387c9-c03d-40e9-95b0-47b35bc64783","fuite d'huile d'étanchéité au niveau du palier arrière alternateur tr3","2019-03-13 15:38:00","Terminé","3","ALTERNATEUR","34EL"
"27f2160e-1ebf-42f9-8560-79087f65e7fa","réglage détecteur de proximité  nivaux haut du dégrilleur.","2019-03-13 15:40:00","Terminé","2","Dégrilleur","34EL"
"344a302f-5751-43ef-afec-e70e438c4bdc","soudage d'une bride de tarage de la soupape du circuit de ramonage","2019-03-14 08:00:00","Terminé","1","Systeme ramonage U3","34MD"
"775275ce-ad7c-444a-b751-c1437d2506c2","La remise en état système réseau de terre sur les transformateurs redresseurs 30 HQA","2019-03-14 08:43:00","Terminé","3","ELECTROFILTRE A","34EL"
