Num_equipement,Systeme,Description,Date de détéction de l'anomalie,Description de l'équipement,Section propriétaire,Fiabilité Intégrité,Disponibilté,Process Safety,Criticité
95d0467c-d218-43cb-8ee2-ee514d6c80f6,c5799184-0dba-4180-a805-1028a4215ab8,fuite d'huile au niveau du transfo-redresseur 5B .,2019-01-03 11:35:00,TRANSFORMATEUR REDRESSEUR CHAMP5 FILE B,34EL,1,1,3,5
f223673a-4a2d-4d6d-a31c-df65aec8251d,8ab799f5-144f-420c-b426-3d7e36b13f59,PRÉVOIR CONTRÔLE DE PRESSION RAMONAGE RÉCHAUFFEUR D AIR,2019-01-04 09:22:00,AIR HEATER SOOTBLOWER  PESSURE REDUCING STATION,34CT,1,1,1,3
dbed564b-102d-4a17-8793-d894218b02ab,c111ab6f-a961-43ce-b8fe-54b2abf73628,prévoir contrôle mesure de delta P BROYEUR D,2019-01-04 12:46:00,Transmetteur de Delta Pression Cuve Broyeur D,34CT,1,1,1,3
46680756-2ac0-4d8f-a0d6-834ba1936c4d,bdc3f038-04d2-461d-9f77-c0f5c77b453c,écart commande position registre air froid,2019-01-04 12:47:00,REGISTRE AIR FROID BROYEUR D.,34CT,1,1,1,3
dcd4635e-ec4c-43ec-90f2-3ff21755c46a,f771d801-5357-4818-976c-6a8102b713e2,apparition fausse alarme décrasseur off,2019-01-07 08:38:00,DECRASSEUR,34EL,1,2,1,4
46680756-2ac0-4d8f-a0d6-834ba1936c4d,bdc3f038-04d2-461d-9f77-c0f5c77b453c,prévoir graisser registre d'air froid broyeur d,2019-01-07 14:23:00,REGISTRE AIR FROID BROYEUR D.,34MC,1,1,1,3
46680756-2ac0-4d8f-a0d6-834ba1936c4d,bdc3f038-04d2-461d-9f77-c0f5c77b453c,coincement registre air froid le coincement et due aux fuites d'air au distributeur d'air,2019-01-07 14:24:00,REGISTRE AIR FROID BROYEUR D.,34CT,1,2,1,4
dcd4635e-ec4c-43ec-90f2-3ff21755c46a,f771d801-5357-4818-976c-6a8102b713e2,prévoir réglage de la vanne a flotteur.,2019-01-07 14:28:00,DECRASSEUR,34MC,1,1,4,6
ecd708b4-1faf-49fe-8404-ac315a884479,8ab799f5-144f-420c-b426-3d7e36b13f59,Confection et installation d'une passerelle de passage secours pour la vanne d'isolement ramonage réchauffeur d'air,2019-01-07 14:41:00,Systeme ramonage U3,34MD,1,1,3,5
6c1c7361-843a-4571-a963-757e871df06b,5f391c46-4f9f-41db-a5bc-95a214d7ddc7,Remplacement vanne de décharge chambre vanne 3 voix des réchauffeurs HP,2019-01-08 10:39:00,HP HTRS BYP-SERV PILOT VLV,34MD,3,4,1,8
41c4a101-90bd-41c7-8af8-4a277a9165c6,dbdd7242-3784-4edb-a7ee-e99970da137c,Entretien des Ecrans et claviers Stations Operateurs Unité 3,2019-01-09 09:12:32,Système de Supervision et Commande Unité 3,34CT,1,1,1,3
bb54b33f-efdf-4a76-adcb-9abeeabbd1cd,ffbdb124-3725-45e9-911c-1d14b603eb3e,Remise en état calorifuge,2019-01-09 11:35:00,CORNER 1 ATOMAZING STEAM VENT,34MD,1,1,4,6
e3f38d34-f1ee-4243-93b2-c347082faf35,cbd40d2b-59cc-4db7-9f41-2986a167df77,prévoir appoint d'huile pompe alimentaire N°10,2019-01-14 16:04:00,Pompe alimentaire  principale  N° 10,34MG,2,3,1,6
